student_id,year,semester,institution,course_number,credits,grade,course_description,department,course_title,record_source
4196620,2021,SPRING,utexas,PED103L,1,A,"Introduction to popular social dances, including swing, waltz, bachata, nightclub two-step, cross-step waltz, salsa, west coast swing, and tango. Emphasis on connecting with a dance partner and the art of leading and following. Must register for the role you want to learn: lead or follow. Only one of the following may be counted: Kinesiology 119 (Topic 16), Kinesiology 119 (Topic 20), Physical Education 103L (Topic 1), 103L (Topic 7).",PED,PED103L,raw_cleaned
4196620,2021,SUMMER,utexas,MEW338,3,A,"Analysis for the design and manufacture of basic mechanical elements, and their role in the design of machines; application of finite element modeling. Three lecture hours a week for one semester. Prerequisite:_ngineering Mechanics 319_nd_echanical Engineering 334_ith a grade of at least C- in each.",MEW,MEW338,raw_cleaned
4196620,2022,SPRING,utexas,ME139L,1,,"Experimental design concepts, uncertainty analysis, and systems analysis as applied to thermodynamics, fluid mechanics, and heat transfer systems.",ME,Experimental Heat Transfer,raw_cleaned
4196620,2022,SPRING,utexas,ME140L,1,,"Laboratory work in electronics, instrumentation, and electromechanical system integration.",ME,Mechatronics Laboratory,raw_cleaned
4196620,2022,SPRING,utexas,ME338,3,,Analysis for the design and manufacture of basic mechanical elements and their role in the design of machines.,ME,Machine Elements,raw_cleaned
4196620,2022,SPRING,utexas,ME339,3,,"Conduction, convection, radiation, and heat exchanger fundamentals.",ME,Heat Transfer,raw_cleaned
4196620,2022,SPRING,utexas,ME340,3,,"Circuits, sensors, actuators, feedback, and integration of electronics with mechanical systems.",ME,Mechatronics,raw_cleaned
4196620,2022,SPRING,utexas,ORI366,3,A,"Formulation and solution-interpretation for operations research models requiring, for example, optimization, simulation, or analysis of Markov chains or queues. Applications include manufacturing design and control, routing and scheduling, plant location, inventory analysis, and management of queueing systems.",ORI,ORI366,raw_cleaned
4227987,2018,FALL,utexas,CC303,3,A,"Survey of major Greek and Roman myths and their influence on literature, art, and music.",CC,CC303,raw_cleaned
4227987,2018,FALL,utexas,CH301,3,C-,"First semester general chemistry for science and engineering students, covering atomic structure, bonding, stoichiometry, and thermochemistry.",CH,General Chemistry I,raw_cleaned
4227987,2018,FALL,utexas,CH301,3,A,"First semester general chemistry for science and engineering students, covering atomic structure, bonding, stoichiometry, and thermochemistry.",CH,General Chemistry I,raw_cleaned
4227987,2018,FALL,utexas,GE107C,1,A,Development of problem-solving skills in the material covered in Mathematics 408C.,GE,GE107C,raw_cleaned
4227987,2018,FALL,utexas,GOV310L,3,B+,"A basic survey of American government, including fundamental political institutions, federal, state, and local; special attention to the United States and Texas Constitutions.",GOV,GOV310L,raw_cleaned
4227987,2018,FALL,utexas,M408C,4,C,"Introduction to the theory and applications of differential and integral calculus of functions of one variable; topics include limits, continuity, differentiation, the mean value theorem and its applications, integration, the fundamental theorem of calculus, and transcendental functions.",M,M408C,raw_cleaned
4227987,2018,FALL,utexas,M408C,4,A,"Introduction to the theory and applications of differential and integral calculus of functions of one variable; topics include limits, continuity, differentiation, the mean value theorem and its applications, integration, the fundamental theorem of calculus, and transcendental functions.",M,M408C,raw_cleaned
4227987,2018,FALL,utexas,ME302,3,A,"Orientation to mechanical engineering problem solving, design process, and professional tools.",ME,Introduction to Engineering Design and Graphics,raw_cleaned
4227987,2018,FALL,utexas,RTF306,3,Q,"Survey of the aesthetic, cultural, economic, political, and technological trends impacting motion pictures around the world from their origins in the late nineteenth century through the present.",RTF,RTF306,raw_cleaned
4227987,2019,FALL,utexas,EM306,3,C,"Forces, moments, equilibrium, and engineering analysis of rigid bodies.",EM,Statics,raw_cleaned
4227987,2019,FALL,utexas,GOV312L,3,C+,"Analysis of underlying themes concerned with American political institutions and policies, including the United States Constitution.",GOV,GOV312L,raw_cleaned
4227987,2019,FALL,utexas,M427J,4,D-,"Differential equations, matrices, eigenvalues, and engineering applications.",M,Differential Equations with Linear Algebra,raw_cleaned
4227987,2019,FALL,utexas,M427J,4,B-,"Differential equations, matrices, eigenvalues, and engineering applications.",M,Differential Equations with Linear Algebra,raw_cleaned
4227987,2019,FALL,utexas,ME316T,3,C,"Properties, heat and work, the first and second laws of thermodynamics, thermodynamic processes, and introduction to ideal power cycles.",ME,Thermodynamics,raw_cleaned
4227987,2019,FALL,utexas,PED106C,1,A,Designed to accommodate 35 or fewer students. Course number may be repeated for credit when the topics vary.,PED,PED106C,raw_cleaned
4227987,2019,FALL,utexas,PHY303K,3,A,"A general survey of physics; primarily laws of motion, heat, and wave phenomena.",PHY,PHY303K,raw_cleaned
4227987,2019,SPRING,utexas,ARH302,3,A-,A study of selected visual works throughout the world from prehistoric time to 1400 CE. Three lecture hours or two lecture hours and one discussion hour a week for one semester.,ARH,ARH302,raw_cleaned
4227987,2019,SPRING,utexas,CH302,3,A,"Development and application of concepts, theories, and laws underlying chemistry.",CH,CH302,raw_cleaned
4227987,2019,SPRING,utexas,GE107D,1,A,Development of problem-solving skills in the material covered in Mathematics 408D.,GE,GE107D,raw_cleaned
