student_id,year,semester,institution,course_number,credits,grade,course_description
4196620,2020,FALL,utexas,PHY303L,3,A,"Electricity and magnetism, optics, and atomic phenomena."
4196620,2020,FALL,utexas,M427J,4,A,"Ordinary differential equations, introduction to vector spaces, linear operators and eigenvalues, systems of linear differential equations, introduction to partial differential equations and Fourier series."
4196620,2020,FALL,utexas,EM306,3,A,"Vector algebra, force systems, free-body diagrams; engineering applications of equilibrium, including frames, friction, distributed loads; centroids, moments of inertia. Three lecture hours and two discussion hours a week for one semester."
4196620,2020,FALL,utexas,CS303E,3,A,"Problem solving and fundamental algorithms for various applications in science, business, and on the World Wide Web, and introductory programming in a modern object-oriented programming language.?,
4304503,2020,FALL,utexas,ME316T,3,A,Properties"
4196620,2021,SPRING,utexas,ME318M,3,A,"An investigation of applied numerical analysis, programming of computational algorithms using mathematical software, and applications of computational methods to the solution of mechanical engineering problems."
4196620,2021,SPRING,utexas,ME314D,3,A,"Analysis of motions, forces, momenta, and energies in mechanical systems."
4196620,2021,SPRING,utexas,EM319,3,A,Internal forces and deformations in solids; stress and strain in elastic and plastic solids; application to simple engineering problems.
4196620,2021,SPRING,utexas,M427L,4,A,"Matrices, elements of vector analysis and calculus of functions of several variables, including gradient, divergence, and curl of a vector field, multiple integrals and chain rules, length and area, line and surface integrals, Green's theorems in the plane and space, and, if time permits, complex analysis.?,
4304503,2021,SPRING,utexas,CH302,3,CR,Development and application of concepts"
4196620,2021,FALL,utexas,CS313E,3,A,"Object-oriented design of software using Python, a modern high-level language. Introduction to abstract data types, fundamental algorithms, and basics of complexity analysis."
4196620,2021,FALL,utexas,ME134L,1,A,Hands-on experiments in materials science and engineering topics and microstructure-property relationships discussed in_echanical Engineering 334.?
4196620,2021,FALL,utexas,ME130L,1,A,"Experimental design concepts, uncertainty analysis, and systems analysis as applied to thermodynamics, fluid mechanics, and heat transfer systems."
4196620,2021,FALL,utexas,ME330,3,A,"Fluid properties, statics, conservation laws, inviscid and viscous incompressible flow, flow in confined streams and around objects."
4196620,2021,FALL,utexas,ME334,3,A,"Fundamental aspects of the structure, properties, and behavior of engineering materials."
4196620,2021,FALL,utexas,ME335,3,A,"Fundamentals of probability, distribution theory, data analysis and statistics, interval estimation, hypothesis testing, and statistical quality control."
4196620,2022,SPRING,utexas,ME139L,1,#,"Experimental design concepts, uncertainty analysis, and systems analysis as applied to thermodynamics, fluid mechanics, and heat transfer systems."
4196620,2022,SPRING,utexas,ME140L,1,#,"Hands-on laboratory using hand-held and bench-top electronic test and prototyping equipment for circuits and mechatronics applications; computer-aided instrumentation and data acquisition; laboratory study in design, prototyping, and testing with electrical and electronics components and electromechanical devices."
4196620,2022,SPRING,utexas,ME339,3,#,Steady and transient heat conduction; forced and natural convection; radiation; introduction to heat exchangers and applications.
4196620,2022,SPRING,utexas,ME338,3,#,"Analysis for the design and manufacture of basic mechanical elements, and their role in the design of machines; application of finite element modeling."
4196620,2022,SPRING,utexas,ME340,3,#,"Theory and application of electrical circuits, electronics, and electromechanical devices; concepts in electrical power transmission; instrumentation; feedback; integration of electronics and instrumentation with mechanical engineering systems (mechatronics).?,
4304503,2022,SPRING,utexas,ME379M,3,#,Prerequisite: Prerequisites vary with the topic.,
4304503,2022,SPRING,utexas,ME350R,3,#,Studies the analysis and synthesis of motions of mechanisms in order to design robotic systems. Examines motion properties of mechanisms including degrees of freedom"
4196620,2022,SPRING,utexas,ORI366,3,A,"Formulation and solution-interpretation for operations research models requiring, for example, optimization, simulation, or analysis of Markov chains or queues. Applications include manufacturing design and control, routing and scheduling, plant location, inventory analysis, and management of queueing systems."
4196620,2021,FALL,utexas,ME335,3,B-,"Fundamentals of probability, distribution theory, data analysis and statistics, interval estimation, hypothesis testing, and statistical quality control. Three lecture hours and one discussion hour a week for one semester. Prerequisite:_athematics 408D_r?08M_ith a grade of at least C-"
4196620,2021,FALL,utexas,ME144L,1,A-,"Modeling of engineering systems, digital simulation, and assessment of results with experimental study; methods for analysis of first- and second-order systems, system identification, frequency response and feedback control principles; hands-on experimentation with mechanical, fluid, electrical, and magnetic systems; data acquisition and analysis using oscilloscopes and microcomputer-based analog-to-digital and digital-to-analog conversion; theoretical and practical principles governing the design and use of various sensors and transducers. For?44L, one lecture hour and two laboratory hours a week for one semester; for?44L, one lecture hour and three laboratory hours a week for one semester. Prerequisite: Credit or registration for_echanical Engineering 344."
